ele_load(kW),heat_load(kW),cool_load(kW),solarRadiation(W/m-2),windSpeed(m/s),temperature(C)
2399.9836999999998,842.0338,318.54830000000004,0.0,2.64,-1.74
2528.3899,887.0851000000001,335.5915,0.0,2.56,-1.74
2612.5196,919.5534,346.75800000000004,0.0,2.49,-1.61
2654.5071999999996,922.3367,352.33099999999996,50.98,2.66,-0.73
2676.6977,920.975,355.2763,69.28,2.85,-0.02
2678.4952999999996,915.5415,355.51489999999995,93.98,2.63,0.37
2658.0252,899.536,352.7979,109.76,2.43,0.62
2621.7992,881.3523999999999,347.9897,95.66,2.31,0.8
2568.8206,854.8366000000001,340.95779999999996,70.02,1.83,0.67
2493.0095,835.2417,330.8955,30.74,1.82,-0.21
2403.9552,810.8371000000001,319.0754,0.0,2.17,-0.94
2318.2743,787.1756,307.703,0.0,2.27,-0.99
2224.0525,765.2327,295.197,0.0,2.32,-0.86
2125.8327,760.2578,282.1604,0.0,2.45,-0.63
2055.0504,746.5523999999999,272.7655,0.0,2.99,-0.32
1996.6195,736.6041,265.01,0.0,3.51,-0.11
1925.7587000000003,710.4617999999999,255.6047,0.0,3.94,-0.06
1874.9598999999998,700.1936000000001,248.8622,0.0,4.41,-0.13
1759.5682000000002,647.1619999999999,233.5463,0.0,4.94,-0.11
1786.0734999999997,669.0173,237.0643,0.0,5.17,-0.12
1843.3531,696.7203,244.667,0.0,5.19,-0.09
1948.4407,727.6347000000001,258.6152,0.0,5.28,0.27
2101.4161,787.1365,278.9196,0.0,5.14,1.05
2255.154,837.0795999999999,299.32509999999996,0.0,4.99,2.15
2399.9836999999998,879.9928,318.54830000000004,0.0,4.79,3.08
2528.3899,924.2186,335.5915,0.0,5.15,3.91
2612.5196,940.2136999999999,346.75800000000004,0.0,5.45,4.44
2654.5071999999996,943.329,352.33099999999996,40.42,5.8,4.82
2676.6977,933.0708999999999,355.2763,71.19,6.18,5.18
2678.4952999999996,918.5675,355.51489999999995,137.23,6.63,5.62
2658.0252,893.5301999999999,352.7979,98.23,7.06,6.09
2621.7992,863.5807,347.9897,82.95,7.6,6.29
2568.8206,828.7177,340.95779999999996,70.41,7.93,6.29
2493.0095,790.1784999999999,330.8955,45.05,7.92,6.12
2403.9552,721.2143000000001,319.0754,0.0,7.8,5.76
2318.2743,685.0329,307.703,0.0,7.78,5.36
2224.0525,682.317,295.197,0.0,7.45,4.83
2125.8327,676.2005,282.1604,0.0,7.14,4.13
2055.0504,667.6156,272.7655,0.0,6.69,3.46
1996.6195,673.4457000000001,265.01,0.0,6.5,3.08
1925.7587000000003,695.2325,255.6047,0.0,6.53,3.01
1874.9598999999998,630.2925,248.8622,0.0,6.29,2.9
2228.0138,756.5275,295.7228,0.0,6.12,2.83
2043.7307999999998,696.2625999999999,271.263,0.0,6.01,2.87
1859.4479000000001,637.6821,246.8033,0.0,5.66,2.83
1761.539,614.0554,233.80790000000002,0.0,5.92,3.29
1663.6301,593.0817,220.8125,0.0,6.16,3.97
1565.7212,551.1017999999999,207.81709999999998,0.0,6.19,4.4
1602.5401000000002,564.0613,212.7041,0.0,6.66,4.88
1639.3591000000001,571.4647,217.59099999999998,0.0,7.28,5.07
1643.918,560.0536,218.19619999999998,0.0,7.3,4.93
1648.4770999999998,561.6066999999999,218.8013,51.95,7.24,4.84
1653.0360999999998,563.1599,219.4064,53.19,7.66,4.88
1606.5137,545.4956,213.2315,75.25,7.9,4.81
1559.9913000000001,527.9364,207.0566,43.96,8.17,4.68
1495.3869,499.31519999999995,198.4817,45.79,8.51,4.85
1430.7825,479.36010000000005,189.9068,40.88,8.39,5.47
1366.1781,456.17199999999997,181.3319,27.48,8.13,5.9
1330.1542000000002,442.6407,176.5505,0.0,8.19,5.87
1294.1302,437.96299999999997,171.769,0.0,8.08,5.59
1280.3538,437.6402,169.9405,0.0,8.05,5.38
1266.5774000000001,437.224,168.112,0.0,8.64,5.25
1252.8011,436.7144,166.28349999999998,0.0,9.1,5.4
1254.6778,440.20349999999996,166.53259999999997,0.0,9.18,5.62
1256.5546000000002,446.5402,166.78169999999997,0.0,9.1,5.58
1241.4358,439.765,164.7749,0.0,8.78,5.59
1226.3168999999998,435.79470000000003,162.7682,0.0,8.41,5.58
1211.1981,431.7903,160.76149999999998,0.0,8.25,5.55
1189.0524,422.55199999999996,157.82209999999998,0.0,7.54,5.43
1166.9067,413.3639,154.8828,0.0,7.16,5.53
1181.4756,415.8552,156.8165,0.0,7.3,5.66
1196.0446000000002,416.9295,158.7502,0.0,7.24,5.57
1210.6135,417.9051,160.6839,0.0,7.41,5.48
1251.7078999999999,434.91909999999996,166.1384,0.0,7.44,5.36
1292.8020999999999,450.6583,171.59279999999998,5.6,7.1,5.2
1315.2967999999998,457.0139,174.5785,49.02,7.48,5.4
1337.7915,464.8298,177.56419999999997,62.03,7.76,6.08
1360.2862,475.7194,180.5499,72.69,8.21,6.93
1335.8113999999998,458.10540000000003,177.3014,103.48,8.67,7.42
1311.3367,434.8973,174.0528,97.53,8.98,7.67
1308.6468,426.61300000000006,173.69580000000002,62.42,8.98,7.61
1305.9569000000001,422.7854,173.33880000000002,34.28,9.91,7.59
1303.267,435.1657,172.9818,0.0,10.79,7.48
1356.8483,459.1882,180.0936,0.0,11.54,7.31
1410.4295000000002,477.32129999999995,187.2054,0.0,11.84,6.87
1427.842,483.2141,189.5165,0.0,12.01,6.52
1445.2545,489.10689999999994,191.8277,0.0,12.26,6.48
1462.6670000000001,493.3472,194.1388,0.0,12.46,6.38
1483.26,500.2931,196.8721,0.0,12.55,5.84
1503.8529,507.23900000000003,199.6054,0.0,11.85,4.65
1759.5682000000002,591.5021,233.5463,0.0,11.04,3.63
1786.0734999999997,610.5011999999999,237.0643,0.0,10.39,2.94
1843.3531,625.915,244.667,0.0,10.01,2.38
1948.4407,657.1953,258.6152,0.0,9.87,1.99
2101.4161,713.5409,278.9196,0.0,9.55,1.81
2255.154,781.0295,299.32509999999996,0.0,9.63,1.87
2399.9836999999998,823.0543000000001,318.54830000000004,0.0,9.7,1.83
2528.3899,881.3723,335.5915,0.0,9.45,1.59
2612.5196,919.5534,346.75800000000004,7.7,9.22,1.51
2654.5071999999996,931.3334,352.33099999999996,65.84,9.13,1.87
2676.6977,933.0708999999999,355.2763,154.29,9.27,2.54
2678.4952999999996,933.6975,355.51489999999995,198.06,9.58,2.98
2658.0252,920.5561,352.7979,191.39,9.95,3.2
2621.7992,908.01,347.9897,195.09,10.02,3.09
2568.8206,907.0742999999999,340.95779999999996,159.61,9.77,2.89
2493.0095,883.1212999999999,330.8955,79.5,9.27,2.34
2403.9552,846.1431,319.0754,0.0,8.85,1.62
2318.2743,818.6042,307.703,0.0,8.41,1.25
2224.0525,790.3587,295.197,0.0,7.88,1.02
2125.8327,760.2578,282.1604,0.0,7.76,1.07
2055.0504,741.9090999999999,272.7655,0.0,7.72,1.28
1996.6195,752.3937,265.01,0.0,7.7,1.42
1925.7587000000003,730.0422,255.6047,0.0,7.74,1.54
